_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
22420791,Apartment,Entire home/apt,Real Bed,2,90,flexible,4,1,1,19,2,108,50,3,100,50,within a few hours,100.0,Yes,Yes,No,1,1,Rio De Janeiro,Brazil,-43.49321846774024,-23.02083419067571,Yes,20,49,68,158
2253500,Loft,Entire home/apt,Real Bed,30,1125,moderate,5,1,2,4,1,250,0,1,87,250,within a day,90.0,No,Yes,Yes,1,1,New York,United States,-74.00571,40.7196,Yes,0,1,31,306
2161945,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,15,4,10,174,2,340,40,8,89,180,within an hour,100.0,No,Yes,Yes,14,14,Sydney,Australia,151.2557,-33.9455,Yes,26,47,77,168
21670822,Apartment,Entire home/apt,Real Bed,3,300,moderate,3,0,2,39,1,85,15,2,96,0,within an hour,100.0,Yes,Yes,No,1,1,Porto,Portugal,-8.61479,41.14377,Yes,17,29,40,291
21702934,Guest suite,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,0,2,62,1,270,300,4,100,150,within an hour,100.0,Yes,Yes,Yes,1,1,Oahu,United States,-157.74463,21.41425,Yes,9,16,23,278
21865684,Hostel,Shared room,Real Bed,1,160,moderate,12,1,12,18,3,39,49,1,98,0,within a few hours,100.0,Yes,Yes,No,3,3,Montreal,Canada,-73.57165,45.53446,Yes,27,57,81,166
21929645,Aparthotel,Private room,Real Bed,1,365,flexible,3,5,15,0,5,264,53,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Istanbul,Turkey,28.97586,41.01454,No,29,59,89,364
22145240,Pension (South Korea),Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,0,1,32,1,502,0,1,89,0,within an hour,99.0,No,Yes,No,8,8,Hong Kong,Hong Kong,114.1702,22.31705,Yes,25,55,85,175
22148252,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,1,3,81,1,179,10,2,98,125,within an hour,100.0,Yes,Yes,No,4,4,Oahu,United States,-157.86021,21.30823,Yes,9,31,61,211
22164073,Apartment,Entire home/apt,Real Bed,2,14,moderate,2,1,1,15,1,130,0,1,97,60,within an hour,100.0,Yes,Yes,No,1,1,New York,United States,-73.95831,40.6697,Yes,0,0,0,0
22198157,House,Entire home/apt,Real Bed,5,21,strict_14_with_grace_period,8,4,6,2,1,600,0,1,100,100,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.31783,-33.64421,Yes,0,0,0,65
22204642,Apartment,Entire home/apt,Real Bed,3,31,moderate,6,3,6,34,2,470,0,6,86,100,within an hour,99.0,No,Yes,No,203,203,Barcelona,Spain,2.16855,41.37393,Yes,17,23,37,290
22265832,Apartment,Private room,Real Bed,7,10,strict_14_with_grace_period,2,1,1,2,1,23,0,1,80,10,Not Specified,Not Specified,No,Yes,No,1,1,Montreal,Canada,-73.58216,45.53643,Yes,0,0,0,0
2228863,Apartment,Entire home/apt,Real Bed,2,30,moderate,4,1,1,55,1,903,50,2,95,290,Not Specified,Not Specified,No,Yes,No,1,1,Hong Kong,Hong Kong,114.15137,22.28196,Yes,0,0,0,0
22295401,Apartment,Entire home/apt,Real Bed,3,15,strict_14_with_grace_period,2,0,1,47,1,97,0,1,97,68,within an hour,100.0,Yes,Yes,No,2,2,Sydney,Australia,151.2249,-33.87364,No,4,15,15,15
22296970,House,Private room,Real Bed,2,30,flexible,1,1,1,1,1,50,0,1,80,0,Not Specified,Not Specified,No,Yes,No,6,6,Sydney,Australia,151.18283,-33.88448,No,0,0,0,0
